カード名,意味,キーワード,メッセージ,画像ID,カテゴリ
愚者,新しい始まり,冒険・自由・無邪気,新しい挑戦の時が来ました。恐れずに一歩を踏み出しましょう。,tarot-01,大アルカナ
魔術師,意志と創造力,行動・集中・自己実現,あなたの才能を発揮する時です。目標に向かって行動を起こしましょう。,tarot-02,大アルカナ
女教皇,直感と内なる知恵,直感・神秘・内面,静かに内面の声に耳を傾けてください。直感が正しい道を示してくれます。,tarot-03,大アルカナ
女帝,豊かさと母性,豊穣・愛情・自然,あなたの周りには豊かさが満ちています。感謝の気持ちを大切にしましょう。,tarot-04,大アルカナ
皇帝,権威と秩序,統治・安定・責任,リーダーシップを発揮する時です。責任を持って行動しましょう。,tarot-05,大アルカナ
教皇,伝統と教え,指導・学習・精神性,伝統的な価値観や教えがあなたを導きます。学びを深めましょう。,tarot-06,大アルカナ
恋人,愛と選択,愛情・選択・調和,重要な選択の時です。心の声に従って決断しましょう。,tarot-07,大アルカナ
戦車,勝利と意志,勝利・決意・前進,困難を乗り越えて前進する時です。強い意志を持ち続けましょう。,tarot-08,大アルカナ
力,内なる強さ,忍耐・勇気・自制,内なる強さを信じてください。困難も乗り越えられます。,tarot-09,大アルカナ
隠者,内省と探求,探求・内省・導き,一人の時間を大切にしてください。答えはあなたの中にあります。,tarot-10,大アルカナ
運命の輪,運命と変化,変化・循環・運命,運命の輪が回っています。変化を受け入れましょう。,tarot-11,大アルカナ
正義,バランスと公正,正義・バランス・責任,公平な判断が求められています。正しい選択をしましょう。,tarot-12,大アルカナ
吊られた男,犠牲と待機,待機・受容・新しい視点,今は待つ時です。新しい視点が開けるでしょう。,tarot-13,大アルカナ
死神,終わりと再生,変化・終わり・再生,古いものを手放し、新しい始まりを受け入れましょう。,tarot-14,大アルカナ
節制,調和とバランス,調和・節制・統合,バランスを保つことが大切です。中庸の道を歩みましょう。,tarot-15,大アルカナ
悪魔,束縛と誘惑,束縛・誘惑・物質,物質的な欲望に囚われていませんか。本当の自由を求めましょう。,tarot-16,大アルカナ
塔,破壊と解放,破壊・解放・変革,古い価値観が崩壊する時です。新しい基盤を築きましょう。,tarot-17,大アルカナ
星,希望と癒し,希望・癒し・理想,希望の光があなたを照らしています。理想に向かって進みましょう。,tarot-18,大アルカナ
月,不安と幻想,不安・幻想・無意識,不安な気持ちは無意識からのメッセージです。直感を信じましょう。,tarot-19,大アルカナ
太陽,喜びと成功,喜び・成功・活力,明るい未来が待っています。前向きに行動しましょう。,tarot-20,大アルカナ
審判,復活と覚醒,復活・覚醒・評価,過去を振り返り、新しい人生を始める時です。,tarot-21,大アルカナ
世界,完成と達成,完成・達成・統合,目標を達成しました。新しいサイクルが始まります。,tarot-22,大アルカナ



